ENTITY,NAME,PUBLIC,PUBLIC NAME,CATEGORY,SHARED,FIELD NAME,FIELD LABEL,FIELD TYPE,ENUM VALUES,MANDATORY,FOREIGN KEY,ALLOW EDIT,ALLOW EDIT ON CREATE,ORIGIN FIELD,ORIGIN TABLE
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressPostbox,Post box,String (20),,No,No,Yes,Yes,PostBox,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,CustClassificationId,Customer classification group,String (10),,No,No,Yes,Yes,CustClassificationId,CustTable
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,IsAllowCreateIndirectOrderLines,Create indirect order lines,Enum,0-No | 1-Yes,No,No,Yes,Yes,InterCompanyAllowIndirectCreation,CustTable
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PrimaryContactEmailRecordId,Record-ID,Int64,,No,No,No,No,PrimaryContactEmailRecordId,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PrimaryContactFaxRecordId,Record-ID,Int64,,No,No,No,No,PrimaryContactFaxRecordId,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PrimaryContactPhoneRecordId,Record-ID,Int64,,No,No,No,No,PrimaryContactPhoneRecordId,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PrimaryContactURLRecordId,Record-ID,Int64,,No,No,No,No,PrimaryContactURLRecordId,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressRecordId,Record-ID,Int64,,No,No,No,No,AddressRecId,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,CollectionLetterCode,Valid collection letter code,Enum,0-None | 1-Collection letter 1 | 2-Collection letter 2 | 3-Collection letter 3 | 4-Collection letter 4 | 5-Collection | 6-All | 7-Collection per customer,No,No,Yes,Yes,CollectionLetterCode,CustTable
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,EInvoiceRegister,eInvoice register,Enum,0-No | 1-Yes,No,No,Yes,Yes,EInvoiceRegister_IT,CustTable
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AuthorityOffice,Authority office,String (7),,No,No,Yes,Yes,AuthorityOffice_IT,CustTable
